name,alpha-3,FileName,URL
Norway,NOR,NOR.png,https://github.com/dalezak/CountryMapImages/blob/master/NOR.png?raw=true
Nepal,NPL,NPL.png,https://github.com/dalezak/CountryMapImages/blob/master/NPL.png?raw=true
Nauru,NRU,NRU.png,https://github.com/dalezak/CountryMapImages/blob/master/NRU.png?raw=true
New Zealand,NZL,NZL.png,https://github.com/dalezak/CountryMapImages/blob/master/NZL.png?raw=true
Oman,OMN,OMN.png,https://github.com/dalezak/CountryMapImages/blob/master/OMN.png?raw=true
Pakistan,PAK,PAK.png,https://github.com/dalezak/CountryMapImages/blob/master/PAK.png?raw=true
Panama,PAN,PAN.png,https://github.com/dalezak/CountryMapImages/blob/master/PAN.png?raw=true
Pitcairn,PCN,PCN.png,https://github.com/dalezak/CountryMapImages/blob/master/PCN.png?raw=true
Peru,PER,PER.png,https://github.com/dalezak/CountryMapImages/blob/master/PER.png?raw=true
Philippines,PHL,PHL.png,https://github.com/dalezak/CountryMapImages/blob/master/PHL.png?raw=true
Palau,PLW,PLW.png,https://github.com/dalezak/CountryMapImages/blob/master/PLW.png?raw=true
Papua New Guinea,PNG,PNG.png,https://github.com/dalezak/CountryMapImages/blob/master/PNG.png?raw=true
Poland,POL,POL.png,https://github.com/dalezak/CountryMapImages/blob/master/POL.png?raw=true
Puerto Rico,PRI,PRI.png,https://github.com/dalezak/CountryMapImages/blob/master/PRI.png?raw=true
Korea (Democratic People's Republic of),PRK,PRK.png,https://github.com/dalezak/CountryMapImages/blob/master/PRK.png?raw=true
Portugal,PRT,PRT.png,https://github.com/dalezak/CountryMapImages/blob/master/PRT.png?raw=true
Paraguay,PRY,PRY.png,https://github.com/dalezak/CountryMapImages/blob/master/PRY.png?raw=true
"Palestine, State of",PSE,PSE.png,https://github.com/dalezak/CountryMapImages/blob/master/PSE.png?raw=true
French Polynesia,PYF,PYF.png,https://github.com/dalezak/CountryMapImages/blob/master/PYF.png?raw=true
Qatar,QAT,QAT.png,https://github.com/dalezak/CountryMapImages/blob/master/QAT.png?raw=true
R̩union,REU,REU.png,https://github.com/dalezak/CountryMapImages/blob/master/REU.png?raw=true
Romania,ROU,ROU.png,https://github.com/dalezak/CountryMapImages/blob/master/ROU.png?raw=true
Russian Federation,RUS,RUS.png,https://github.com/dalezak/CountryMapImages/blob/master/RUS.png?raw=true
Rwanda,RWA,RWA.png,https://github.com/dalezak/CountryMapImages/blob/master/RWA.png?raw=true
Saudi Arabia,SAU,SAU.png,https://github.com/dalezak/CountryMapImages/blob/master/SAU.png?raw=true
Sudan,SDN,SDN.png,https://github.com/dalezak/CountryMapImages/blob/master/SDN.png?raw=true
